lab4.cpp
lab4.err
lab4.out
lab4.sh
t v x
x=0.5
1.396 0.462114 -0.016229
1.398 0.46684 -0.0153048
1.4 0.471246 -0.0143711
1.402 0.475332 -0.0134286
1.404 0.479099 -0.0124779
1.406 0.482545 -0.0115197
1.408 0.485673 -0.0105546
1.41 0.488484 -0.00958329
1.412 0.490978 -0.00860632
1.414 0.493158 -0.00762437
1.416 0.495024 -0.00663805
1.418 0.49658 -0.005648
1.42 0.497826 -0.00465484
1.422 0.498766 -0.00365919
1.424 0.499402 -0.00266166
1.426 0.499736 -0.00166286
1.428 0.499773 -0.000663382
1.43 0.499514 0.000336163
1.432 0.498963 0.00133519
1.434 0.498123 0.00233312
1.436 0.496998 0.00332936
1.438 0.495591 0.00432336
1.44 0.493907 0.00531454
1.442 0.491948 0.00630235
1.444 0.48972 0.00728625
1.446 0.487225 0.00826569
1.448 0.484469 0.00924014
1.45 0.481455 0.0102091
1.452 0.478188 0.011172
1.454 0.474672 0.0121284
1.456 0.470911 0.0130777
1.458 0.46691 0.0140195
1.46 0.462674 0.0149533
1.462 0.458207 0.0158787
1.464 0.453513 0.0167951
1.466 0.448598 0.0177021
1.468 0.443465 0.0185993
1.47 0.43812 0.0194863
1.472 0.432567 0.0203625
1.474 0.426812 0.0212276
1.476 0.420858 0.0220813
1.478 0.41471 0.022923
1.48 0.408373 0.0237524
1.482 0.401852 0.0245691
1.484 0.395152 0.0253728
1.486 0.388276 0.0261631
1.488 0.38123 0.0269397
1.49 0.374019 0.0277022
1.492 0.366647 0.0284502
1.494 0.359118 0.0291835
1.496 0.351437 0.0299017
1.498 0.34361 0.0306046
1.5 0.335639 0.0312918
1.502 0.32753 0.0319631
1.504 0.319288 0.0326182
1.506 0.310916 0.0332567
1.508 0.30242 0.0338786
1.51 0.293802 0.0344834
1.512 0.285069 0.035071
1.514 0.276224 0.0356411
1.516 0.267271 0.0361936
1.518 0.258215 0.0367281
1.52 0.24906 0.0372446
1.522 0.23981 0.0377427
1.524 0.230469 0.0382223
1.526 0.221042 0.0386832
1.528 0.211532 0.0391253
1.53 0.201943 0.0395484
1.532 0.19228 0.0399523
1.534 0.182547 0.0403368
1.536 0.172748 0.0407019
1.538 0.162886 0.0410474
1.54 0.152965 0.0413732
1.542 0.14299 0.0416791
1.544 0.132964 0.0419651
1.546 0.122891 0.042231
1.548 0.112775 0.0424768
1.55 0.10262 0.0427024
1.552 0.0924297 0.0429076
1.554 0.0822077 0.0430925
1.556 0.0719578 0.0432569
1.558 0.0616839 0.0434008
1.56 0.0513896 0.0435242
1.562 0.0410788 0.0436269
1.564 0.0307551 0.0437091
1.566 0.0204224 0.0437706
1.568 0.0100842 0.0438115
1.57 -0.00025554 0.0438316
1.572 -0.0105933 0.0438311
1.574 -0.0209252 0.0438099
1.576 -0.0312476 0.0437681
1.578 -0.0415568 0.0437056
1.58 -0.0518491 0.0436225
1.582 -0.0621206 0.0435188
1.584 -0.0723677 0.0433945
1.586 -0.0825866 0.0432498
1.588 -0.0927735 0.0430846
1.59 -0.102925 0.0428991
1.592 -0.113036 0.0426932
1.594 -0.123105 0.0424672
1.596 -0.133126 0.0422209
1.598 -0.143096 0.0419547
1.6 -0.153011 0.0416685
1.602 -0.162867 0.0413625
1.604 -0.172661 0.0410367
1.606 -0.182388 0.0406914
1.608 -0.192045 0.0403266
1.61 -0.201627 0.0399426
1.612 -0.21113 0.0395393
1.614 -0.220551 0.039117
1.616 -0.229885 0.0386759
1.618 -0.239128 0.0382162
1.62 -0.248277 0.0377379
1.622 -0.257326 0.0372414
1.624 -0.266273 0.0367267
1.626 -0.275112 0.0361942
1.628 -0.283839 0.0356439
1.63 -0.29245 0.0350763
1.632 -0.300942 0.0344914
1.634 -0.309308 0.0338895
1.636 -0.317546 0.0332709
1.638 -0.325651 0.0326358
1.64 -0.333618 0.0319845
1.642 -0.341443 0.0313172
1.644 -0.349121 0.0306343
1.646 -0.356648 0.0299361
1.648 -0.36402 0.0292228
1.65 -0.371232 0.0284948
1.652 -0.378279 0.0277523
1.654 -0.385158 0.0269957
1.656 -0.391862 0.0262254
1.658 -0.398389 0.0254417
1.66 -0.404733 0.0246449
1.662 -0.410889 0.0238355
1.664 -0.416853 0.0230137
1.666 -0.422621 0.02218
1.668 -0.428188 0.0213347
1.67 -0.433549 0.0204784
1.672 -0.438701 0.0196113
1.674 -0.443637 0.0187339
1.676 -0.448354 0.0178466
1.678 -0.452848 0.0169499
1.68 -0.457113 0.0160442
1.682 -0.461146 0.01513
1.684 -0.464942 0.0142077
1.686 -0.468497 0.0132778
1.688 -0.471807 0.0123408
1.69 -0.474867 0.0113972
1.692 -0.477674 0.0104474
1.694 -0.480223 0.00949209
1.696 -0.48251 0.00853164
1.698 -0.484532 0.00756662
1.7 -0.486284 0.00659756
1.702 -0.487764 0.00562499
1.704 -0.488968 0.00464946
1.706 -0.489891 0.00367152
1.708 -0.490532 0.00269174
1.71 -0.490886 0.00171068
1.712 -0.490952 0.000728905
1.714 -0.490725 -0.000252999
1.716 -0.490203 -0.00123445
1.718 -0.489385 -0.00221486
